id	Name	Category
281	internet_address_survey_reprobing_it40c-20110420	Address Space Allocation Data
282	internet_address_survey_reprobing_it41w-20110520	Address Space Allocation Data
283	internet_address_census_it41w-20110520	Address Space Allocation Data
284	internet_address_census_it41c-20110520	Address Space Allocation Data
285	internet_address_survey_reprobing_it41c-20110606	Address Space Allocation Data
286	internet_address_census_it42c-20110712	Address Space Allocation Data
287	DoS_80-20110715	IP Packet Headers
288	internet_address_census_it42w-20110726	Address Space Allocation Data
289	internet_address_survey_reprobing_it42w-20110726	Address Space Allocation Data
290	internet_address_survey_reprobing_it42c-20110809	Address Space Allocation Data
291	as_to_org_mapping_inferred_truth-20110901	Internet Topology Data
292	internet_address_history_standing_w-20110913	Address Space Allocation Data
293	internet_address_census_it43w-20110913	Address Space Allocation Data
294	internet_address_survey_reprobing_it43w-20110913	Address Space Allocation Data
295	internet_address_census_it43c-20110913	Address Space Allocation Data
296	internet_address_census_it43j-20110913	Address Space Allocation Data
297	internet_address_survey_reprobing_it43c-20110927	Address Space Allocation Data
298	internet_address_survey_reprobing_it43j-20111012	Address Space Allocation Data
299	ITDK 2011-10	Internet Topology Data
300	internet_address_census_it44w-20111102	Address Space Allocation Data
301	internet_address_census_it44c-20111102	Address Space Allocation Data
302	internet_address_census_it44j-20111102	Address Space Allocation Data
303	internet_address_survey_reprobing_it44w-20111102	Address Space Allocation Data
304	internet_address_survey_reprobing_it44c-20111116	Address Space Allocation Data
305	internet_address_survey_reprobing_it44j-20111205	Address Space Allocation Data
306	geoloc_128_187_195-20120101	Internet Topology Data
307	geoloc_71_88_112-20120101	Internet Topology Data
308	geoloc_84_98_118-20120101	Internet Topology Data
309	Patch Tuesday Dataset	Blackhole Address Space Data
310	internet_address_census_it45c-20120102	Address Space Allocation Data
311	internet_address_census_it45j-20120102	Address Space Allocation Data
312	internet_address_census_it45w-20120102	Address Space Allocation Data
313	internet_address_survey_reprobing_it45c-20120114	Address Space Allocation Data
314	geoloc_178_186_188_189_202_203-20120201	Internet Topology Data
315	geoloc_193_194_216_217_218_219-20120201	Internet Topology Data
316	geoloc_63_64_83_85_101_106-20120201	Internet Topology Data
317	geoloc_1_2_12_14_24_31_121_192_196-20120201	Internet Topology Data
318	internet_address_survey_reprobing_it45j-20120201	Address Space Allocation Data
319	internet_address_survey_reprobing_it45w-20120215	Address Space Allocation Data
320	geoloc_65_67_77_78_120_123-20120301	Internet Topology Data
321	geoloc_79_80_117_122_129_131-20120301	Internet Topology Data
322	internet_address_census_it46w-20120309	Address Space Allocation Data
323	internet_address_survey_reprobing_it46w-20120309	Address Space Allocation Data
324	internet_address_census_it46c-20120309	Address Space Allocation Data
325	internet_address_census_it46j-20120309	Address Space Allocation Data
326	internet_address_survey_reprobing_it46c-20120329	Address Space Allocation Data
327	geoloc_66_76_81_82_116_119-20120401	Internet Topology Data
328	geoloc_68_72_86_87_124_125-20120401	Internet Topology Data
329	Anycast_Enumeration_from_PlanetLab_to_TLDns_20120402	Internet Topology Data
330	internet_address_survey_reprobing_it46j-20120413	Address Space Allocation Data
331	Flashback Botnet Sinkhole Connection Data	Sinkhole Data
332	internet_address_census_it47w-20120427	Address Space Allocation Data
333	internet_address_census_it47c-20120427	Address Space Allocation Data
334	internet_address_census_it47j-20120427	Address Space Allocation Data
335	internet_address_survey_reprobing_it47w-20120427	Address Space Allocation Data
336	Anycast_Enumeration_from_rDNS_to_AS112-20120504	Internet Topology Data
337	internet_address_survey_reprobing_it47c-20120513	Address Space Allocation Data
338	internet_address_survey_reprobing_it47j-20120529	Address Space Allocation Data
339	geoloc_75_93_94_99_114_115-20120601	Internet Topology Data
340	internet_address_survey_reprobing_it48c-20120629	Address Space Allocation Data
341	geoloc_89_90_96_97_113_126-20120701	Internet Topology Data
342	ITDK 2012-07	Internet Topology Data
343	internet_address_survey_reprobing_it48j-20120717	Address Space Allocation Data
344	internet_address_census_it49w-20120731	Address Space Allocation Data
345	internet_address_census_it48w-20120615	Address Space Allocation Data
346	internet_address_survey_reprobing_it48w-20120615	Address Space Allocation Data
347	internet_address_census_it48j-20120615	Address Space Allocation Data
348	internet_address_census_it48c-20120618	Address Space Allocation Data
349	PAM13 dataset (Reputation Block Lists)	Traffic Flow Data
350	internet_address_census_it49c-20120731	Address Space Allocation Data
351	internet_address_census_it49j-20120731	Address Space Allocation Data
352	geoloc_5_46_50_58_59_62_108-20120801	Internet Topology Data
353	internet_address_survey_reprobing_it49w-20120802	Address Space Allocation Data
